id	context	tone	vars	chars_ko	ko	en	ja	zh_cn
know.books	지식(책) 트리	시스템·다나까	{n}	26	📚 책 {n}권 — 지식을 배워 살림을 키운다	📚 {n} books — learn to better your home	📚 本{n}冊 — 知識を学んで暮らしを育てる	
know.cost	지식(책) 트리	시스템·다나까	{n}	4	{n}권	{n} bk	{n}冊	
know.learn	지식(책) 트리	시스템·다나까	{n}	10	배우기 ({n}권)	Learn ({n} bk)	学ぶ ({n}冊)	
know.learned	지식(책) 트리	시스템·다나까		4	✓ 익힘	✓ Learned	✓ 習得	
know.locked	지식(책) 트리	시스템·다나까		8	🔒 선행 필요	🔒 Prereq needed	🔒 前提が必要	
btn.sleep.title	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		22	취침 — 내일 아침까지 자고 에너지 회복	Sleep — rest until morning and restore energy	就寝 — 朝まで眠ってエネルギー回復	
btn.journal.title	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		13	일지 (도감·업적·통계)	Journal (collection · achievements · stats)	日誌 (図鑑・実績・統計)	
btn.help.title	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		18	생존 수첩 — 이전 거주자의 기록	Survivor's Journal — notes from the previous occupant	生存手帳 — 前の住人の記録	
btn.exp.lbl	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	탐험	Explore	探索	
btn.move.lbl	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	이주	Move	移住	
btn.craft.lbl	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	제작	Craft	製作	
btn.knowledge.lbl	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	지식	Tech	知識	
btn.clean.lbl	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	청소	Clean	掃除	
btn.wardrobe.lbl	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	옷장	Wardrobe	衣装	
btn.sleep.lbl	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	취침	Sleep	就寝	
btn.journal.lbl	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	일지	Journal	日誌	
btn.help.lbl	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	도움	Help	ヘルプ	
cam.rotl.title	일반 UI	시스템·다나까		10	시점 좌회전 (Q)	Rotate view left (Q)	視点左回転 (Q)	
cam.rotr.title	일반 UI	시스템·다나까		10	시점 우회전 (E)	Rotate view right (E)	視点右回転 (E)	
cam.zin.title	일반 UI	시스템·다나까		3	줌 인	Zoom in	ズームイン	
cam.zout.title	일반 UI	시스템·다나까		4	줌 아웃	Zoom out	ズームアウト	
cam.home.title	일반 UI	시스템·다나까		6	시점 초기화	Reset view	視点リセット	
btn.pause.title	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		8	일시정지 (P)	Pause (P)	一時停止 (P)	
btn.gear.title	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	설정	Settings	設定	
pause.ind	일시정지	시스템·다나까		6	⏸ 일시정지	⏸ Paused	⏸ 一時停止	
btn.cancelPlace	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		7	✖ 배치 취소	✖ Cancel placement	✖ 配置キャンセル	
exp.panel.title	탐험 준비·정산·노트	혼잣말·반말		7	■ 지역 탐험	■ Regional Expedition	■ 地域探索	
settings.title	설정 탭	시스템·다나까		7	⚙️ 환경설정	⚙️ Settings	⚙️ 環境設定	
settings.tab.graphics	설정 탭	시스템·다나까		3	그래픽	Graphics	グラフィック	
settings.tab.sound	설정 탭	시스템·다나까		3	사운드	Sound	サウンド	
settings.tab.gameplay	설정 탭	시스템·다나까		6	게임 플레이	Gameplay	ゲームプレイ	
settings.tab.controls	설정 탭	시스템·다나까		3	컨트롤	Controls	操作	
settings.default	설정 탭	시스템·다나까		5	↺ 기본값	↺ Defaults	↺ 初期値	
settings.defaultDone	설정 탭	시스템·다나까		19	이 탭 설정을 기본값으로 되돌렸다.	Restored this tab to defaults.	このタブの設定を初期値に戻した。	
settings.close	설정 탭	시스템·다나까		2	닫기	Close	閉じる	
ctrl.esc	키/패드 바인딩 UI	시스템·다나까		12	환경설정 열기 / 닫기	Open / close settings	環境設定を開く / 閉じる	
ctrl.pause	키/패드 바인딩 UI	시스템·다나까		4	일시정지	Pause	一時停止	
ctrl.rotview	키/패드 바인딩 UI	시스템·다나까		13	시점 회전 (좌 / 우)	Rotate view (left / right)	視点回転 (左 / 右)	
ctrl.rotate	키/패드 바인딩 UI	시스템·다나까		12	가구 회전 (배치 중)	Rotate furniture (while placing)	家具回転 (配置中)	
ctrl.reclaim	키/패드 바인딩 UI	시스템·다나까		9	선택한 가구 회수	Reclaim selected furniture	選択した家具を回収	
ctrl.tap	키/패드 바인딩 UI	시스템·다나까		13	가구 선택 · 기능 사용	Select furniture · use function	家具選択 · 機能使用	
ctrl.tap.k	키/패드 바인딩 UI	시스템·다나까		1	탭	Tap	タップ	
ctrl.drag	키/패드 바인딩 UI	시스템·다나까		20	시점 회전 · 가구 이동(배치 모드)	Rotate view · move furniture (edit mode)	視点回転 · 家具移動(配置モード)	
ctrl.drag.k	키/패드 바인딩 UI	시스템·다나까		3	드래그	Drag	ドラッグ	
ctrl.pinch	키/패드 바인딩 UI	시스템·다나까		9	줌 · 화면 이동	Zoom · pan	ズーム · 画面移動	
ctrl.pinch.k	키/패드 바인딩 UI	시스템·다나까		5	두 손가락	Two fingers	二本指	
ctrl.reserved	키/패드 바인딩 UI	시스템·다나까		8	(시스템 예약)	(system-reserved)	(システム予約)	
ctrl.pressKey	키/패드 바인딩 UI	시스템·다나까		8	키 입력 대기…	Press a key…	キー入力待ち…	
ctrl.rebindDefault	키/패드 바인딩 UI	시스템·다나까		6	↺ 기본 키	↺ Default keys	↺ 初期キー	
ctrl.rebindDone	키/패드 바인딩 UI	시스템·다나까		8	키를 저장했다.	Key binding saved.	キーを保存した。	
ctrl.swap	키/패드 바인딩 UI	시스템·다나까		2	교체	Swap	入れ替え	
ctrl.swapConfirm	키/패드 바인딩 UI	시스템·다나까	{key} {from} {to}	46	{key} 키는 이미 "{from}"에 배정되어 있다. "{to}"와 서로 바꿀까?	The {key} key is already bound to "{from}". Swap it with "{to}"?	{key}キーはすでに「{from}」に割り当てられている。「{to}」と入れ替えるか？	
ctrl.mobileNote	키/패드 바인딩 UI	시스템·다나까		20	터치 조작은 재설정 대상이 아닙니다.	Touch controls are not rebindable.	タッチ操作は再設定の対象外です。	
ctrl.act.map	키/패드 바인딩 UI	시스템·다나까		5	탐험 지도	Expedition map	探索地図	
ctrl.act.migrate	키/패드 바인딩 UI	시스템·다나까		2	이주	Migrate	移住	
ctrl.act.craft	키/패드 바인딩 UI	시스템·다나까		3	제작대	Crafting	作業台	
ctrl.act.clean	키/패드 바인딩 UI	시스템·다나까		2	청소	Clean	掃除	
ctrl.act.sleep	키/패드 바인딩 UI	시스템·다나까		2	취침	Sleep	就寝	
ctrl.act.journal	키/패드 바인딩 UI	시스템·다나까		2	일지	Journal	日誌	
ctrl.act.pause	키/패드 바인딩 UI	시스템·다나까		4	일시정지	Pause	一時停止	
ctrl.act.editMode	키/패드 바인딩 UI	시스템·다나까		5	배치 모드	Edit mode	配置モード	
ctrl.act.rotViewL	키/패드 바인딩 UI	시스템·다나까		9	시점 회전 (좌)	Rotate view (left)	視点回転 (左)	
ctrl.act.rotViewR	키/패드 바인딩 UI	시스템·다나까		9	시점 회전 (우)	Rotate view (right)	視点回転 (右)	
ctrl.act.rotateItem	키/패드 바인딩 UI	시스템·다나까		5	가구 회전	Rotate furniture	家具を回転	
ctrl.act.reclaim	키/패드 바인딩 UI	시스템·다나까		8	선택 가구 회수	Reclaim selected	選択家具を回収	
acc.title	일반 UI	시스템·다나까		5	♿ 접근성	♿ Accessibility	♿ アクセシビリティ	
opt.fontscale	환경설정 항목	시스템·다나까		5	글자 크기	Font size	文字サイズ	
acc.font.normal	일반 UI	시스템·다나까		2	보통	Normal	標準	
acc.font.large	일반 UI	시스템·다나까		2	크게	Large	大きめ	
acc.font.max	일반 UI	시스템·다나까		2	최대	Largest	最大	
opt.colorblind	환경설정 항목	시스템·다나까		6	색약 팔레트	Colorblind palette	色覚サポート	
opt.colorblind.title	환경설정 항목	시스템·다나까		30	게이지와 요구 표시의 초록/빨강을 파랑/주황으로 바꾼다	Swaps green/red in gauges and requirement chips for blue/orange	ゲージや要求表示の緑/赤を青/オレンジに置き換える	
opt.reducemotion	환경설정 항목	시스템·다나까		12	흔들림 · 깜빡임 감소	Reduce motion	揺れ・点滅の軽減	
opt.reducemotion.title	환경설정 항목	시스템·다나까		31	게이지 깜빡임·배지 흔들림 같은 반복 애니메이션을 멈춘다	Stops looping animations like gauge blinking and badge pulsing	ゲージの点滅やバッジの揺れといった繰り返しアニメーションを止める	
opt.pixel	환경설정 항목	시스템·다나까		5	픽셀 크기	Pixel size	ピクセルサイズ	
opt.quant	환경설정 항목	시스템·다나까		6	색상 양자화	Color quantize	色の量子化	
opt.dither	환경설정 항목	시스템·다나까		3	디더링	Dithering	ディザリング	
opt.ditheramt	환경설정 항목	시스템·다나까		5	디더 강도	Dither Strength	ディザ強度	
opt.ditheramt.title	환경설정 항목	시스템·다나까		43	디더 점무늬의 세기입니다. 낮추면 카메라를 움직일 때 화면이 덜 지글거립니다.	How strong the dither dots are. Lower it and the screen shimmers less when the camera moves.	ディザの点模様の強さです。下げると、カメラを動かしたときの画面のちらつきが減ります。	
opt.ditheramt.full	환경설정 항목	시스템·다나까		3	진하게	Full	濃いめ	
opt.ditheramt.mid	환경설정 항목	시스템·다나까		2	보통	Medium	標準	
opt.ditheramt.soft	환경설정 항목	시스템·다나까		4	은은하게	Soft	控えめ	
opt.aa	환경설정 항목	시스템·다나까		7	안티에일리어싱	Anti-aliasing	アンチエイリアス	
opt.aa.title	환경설정 항목	시스템·다나까		43	도트 느낌은 유지하면서 계단 현상(들쭉날쭉한 가장자리)만 매끄럽게 다듬습니다.	Keeps the pixel look while smoothing out the jagged, stair-stepped edges.	ドット感は保ったまま、ジャギー（ギザギザした縁）だけを滑らかに整えます。	
opt.ceil	환경설정 항목	시스템·다나까		5	실내 조명	Indoor light	室内照明	
opt.autoeat	환경설정 항목	시스템·다나까		5	자동 섭취	Auto-eat	自動飲食	
opt.autoeat.title	환경설정 항목	시스템·다나까		30	배고픔/갈증이 40 아래로 내려가면 알아서 먹고 마신다	Automatically eat and drink when hunger/thirst drops below 40	空腹/渇きが40を下回ったら自動で食べて飲む	
opt.fps	환경설정 항목	시스템·다나까		6	FPS 제한	FPS cap	FPS上限	
opt.lowspec	환경설정 항목	시스템·다나까		6	저사양 모드	Low-spec mode	低スペックモード	
opt.bgidle	환경설정 항목	시스템·다나까		8	백그라운드 소리	Background sound	バックグラウンド音	
opt.bgm	환경설정 항목	시스템·다나까		3	BGM	BGM	BGM	
opt.bgmvol	환경설정 항목	시스템·다나까		5	🔊 음량	🔊 Volume	🔊 音量	
opt.sfxvol	환경설정 항목	시스템·다나까		6	🔔 효과음	🔔 Sound FX	🔔 効果音	
opt.lang	환경설정 항목	시스템·다나까		13	언어 / Language	Language / 언어	언어 / Language	
btn.saveExp	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		7	💾 내보내기	💾 Export	💾 書き出し	
btn.saveImp	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		7	📂 가져오기	📂 Import	📂 読み込み	
btn.reset	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		7	🚪 타이틀로	🚪 To Title	🚪 タイトルへ	
sel.name	가구 선택 카드(색/티어)	라벨(명사구)		3	아이템	Item	アイテム	
btn.rotate	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		6	회전 (R)	Rotate (R)	回転 (R)	
btn.delete	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		8	회수 (Del)	Reclaim (Del)	回収 (Del)	
modal.close	일반 UI	시스템·다나까		2	닫기	Close	閉じる	
lcd.sub	일반 UI	라벨(명사구)		11	🌅 아침 · 🌤️	🌅 Morning · 🌤️	🌅 朝 · 🌤️	
lang.confirm	일반 UI	시스템·다나까		28	언어를 바꾸면 게임을 다시 불러옵니다. 계속할까요?	Changing the language will reload the game. Continue?	言語を変更するとゲームを再読み込みします。続けますか？	
auto.unlocked.title	자동 진행 에이전트	시스템·다나까		11	🤖 자동 진행 해금	🤖 Auto-Play Unlocked	🤖 自動進行アンロック	
auto.unlocked.body	자동 진행 에이전트	시스템·다나까		118	열흘을 버텨냈다. 이제 몸이 루틴을 기억한다.<br><br>자동 진행을 켜면 매 정시마다 <b>치료 → 청소 → 최적 지역 탐험</b>을 알아서 처리한다. 우측의 🤖 버튼이나 설정에서 언제든 켜고 끌 수 있다.	Ten days survived. The routine lives in your hands now.<br><br>With auto-play on, every hour handles <b>treating → cleaning → the best expedition</b> for you. Toggle it anytime with the 🤖 button or in settings.	十日を耐え抜いた。もう体がルーチンを覚えている。<br><br>自動進行をオンにすると、毎正時に<b>治療 → 掃除 → 最適な地域の探索</b>を自動でこなしてくれる。右の🤖ボタンか設定でいつでも切り替えられる。	
auto.unlocked.on	자동 진행 에이전트	시스템·다나까		8	🤖 지금 켠다	🤖 Turn it on now	🤖 今すぐオンにする	
auto.unlocked.toast	자동 진행 에이전트	시스템·다나까		29	🤖 자동 진행 시작 — 이제 거처가 스스로 굴러간다	🤖 Auto-play on — the shelter runs itself now	🤖 自動進行開始 — もうシェルターはひとりでに回る	
confirm.yes	확인 대화상자(행동 확정)	시스템·다나까		6	그렇게 한다	Do it	そうする	
confirm.no	확인 대화상자(행동 확정)	시스템·다나까		4	그만둔다	Never mind	やめておく	
confirm.dontAsk	확인 대화상자(행동 확정)	시스템·다나까		10	다음부터 묻지 않기	Don’t ask again	次から確認しない	
confirm.eat	확인 대화상자(행동 확정)	시스템·다나까		7	지금 먹을까?	Eat now?	今食べようか？	
confirm.drink	확인 대화상자(행동 확정)	시스템·다나까		7	지금 마실까?	Drink now?	今飲もうか？	
confirm.clean	확인 대화상자(행동 확정)	시스템·다나까		8	지금 청소할까?	Clean up now?	今掃除しようか？	
confirm.move	확인 대화상자(행동 확정)	시스템·다나까		4	이주한다	Move	移住する	
confirm.stay	확인 대화상자(행동 확정)	시스템·다나까		3	남는다	Stay	残る	
confirm.depart	확인 대화상자(행동 확정)	시스템·다나까		4	출발한다	Set out	出発する	
confirm.delete	확인 대화상자(행동 확정)	시스템·다나까		4	삭제한다	Delete	削除する	
confirm.overwrite	확인 대화상자(행동 확정)	시스템·다나까		4	덮어쓴다	Overwrite	上書きする	
confirm.cancel	확인 대화상자(행동 확정)	시스템·다나까		2	취소	Cancel	キャンセル	
confirm.change	확인 대화상자(행동 확정)	시스템·다나까		3	바꾼다	Change	変える	
confirm.enable	확인 대화상자(행동 확정)	시스템·다나까		2	켠다	Turn on	オンにする	
display.title	일반 UI	라벨(명사구)		9	🖥️ 디스플레이	🖥️ Display	🖥️ ディスプレイ	
opt.dispmode	환경설정 항목	시스템·다나까		5	화면 모드	Screen mode	画面モード	
disp.windowed	일반 UI	시스템·다나까		4	창 화면	Windowed	ウィンドウ	
disp.fullscreen	일반 UI	시스템·다나까		4	전체화면	Fullscreen	全画面	
disp.borderless	일반 UI	시스템·다나까		8	창없는 전체화면	Borderless fullscreen	ボーダーレス全画面	
opt.dispres	환경설정 항목	시스템·다나까		3	해상도	Resolution	解像度	
disp.apply	일반 UI	시스템·다나까		4	✓ 적용	✓ Apply	✓ 適用	
disp.applied	일반 UI	시스템·다나까		16	🖥️ 디스플레이 설정 적용됨	🖥️ Display settings applied	🖥️ ディスプレイ設定を適用しました	
widget.title	데스크톱 위젯 모드	시스템·다나까		8	🪟 위젯 모드	🪟 Widget Mode	🪟 ウィジェットモード	
widget.opacity	데스크톱 위젯 모드	시스템·다나까		3	투명도	Opacity	透明度	
widget.alwaysontop	데스크톱 위젯 모드	시스템·다나까		4	항상 위	Always on top	常に最前面	
widget.mini	데스크톱 위젯 모드	시스템·다나까		4	미니 창	Mini window	ミニウィンドウ	
widget.clickthrough	데스크톱 위젯 모드	시스템·다나까		5	클릭 통과	Click-through	クリック透過	
widget.clickthrough.title	데스크톱 위젯 모드	시스템·다나까		47	켜면 게임 조작이 불가능해집니다. 해제는 트레이 또는 작업표시줄에서 할 수 있습니다.	While on, you cannot interact with the game. Turn it off from the tray/taskbar.	オンにするとゲームを操作できなくなります。解除はトレイまたはタスクバーから行えます。	
widget.clickthrough.confirm	데스크톱 위젯 모드	시스템·다나까		63	클릭 통과를 켜면 마우스 조작이 게임을 그대로 통과합니다. 10초 후 안전을 위해 자동으로 꺼집니다. 계속할까요?	Turning on click-through lets mouse clicks pass through the game. It will auto-disable after 10 seconds for safety. Continue?	クリック透過をオンにすると、マウス操作がゲームをそのまま通り抜けます。安全のため10秒後に自動でオフになります。続けますか？	
widget.clickthrough.toast	데스크톱 위젯 모드	시스템·다나까		23	10초 후 클릭 통과가 자동으로 해제됩니다	Click-through will auto-disable in 10 seconds	10秒後にクリック透過が自動で解除されます	
widget.clickthrough.restored	데스크톱 위젯 모드	시스템·다나까		19	클릭 통과가 자동으로 해제되었습니다	Click-through has been auto-disabled	クリック透過が自動で解除されました	
time.night	일반 UI	라벨(명사구)		1	밤	Night	夜	
time.dawn	일반 UI	라벨(명사구)		2	새벽	Dawn	夜明け	
time.morning	일반 UI	라벨(명사구)		2	아침	Morning	朝	
time.day	일반 UI	라벨(명사구)		1	낮	Day	昼	
time.evening	일반 UI	라벨(명사구)		2	저녁	Evening	夕方	
time.dusk	일반 UI	라벨(명사구)		2	황혼	Dusk	黄昏	
intro.start	인트로 생존 서사(문어체)	문어체(기록)		6	▶ 시작하기	▶ Begin	▶ はじめる	
intro.0	인트로 생존 서사(문어체)	문어체(기록)		70	세상이 무너진 지 3년, 겨울의 끝자락.\n녹다 만 눈이 갈라진 도로 틈에 남아 있고,\n그 틈으로 이른 봄풀이 고개를 내밀었다.	Three years since the world fell, at the tail end of winter.\nHalf-melted snow still clings to the cracked roads,\nwhere early spring grass has just begun to push through.	世界が崩れて3年、冬の終わり際。\n溶けきらない雪がひび割れた道路の隙間に残り、\nその隙間から早春の草が顔をのぞかせていた。	
intro.1	인트로 생존 서사(문어체)	문어체(기록)		40	나는 살아남았다.\n그리고 깨달았다 —\n살아남는 것만으로는 부족하다는 걸.	I survived.\nAnd then I realized —\nsurviving alone is not enough.	私は生き残った。\nそして気づいた —\n生き残るだけでは足りないのだと。	
intro.2	인트로 생존 서사(문어체)	문어체(기록)		55	황무지 한가운데, 버려진 컨테이너 하나.\n오늘부터 여기가 내 집이다.\n\n폐허 속에서, 나만의 집을.	In the middle of the wasteland, one abandoned container.\nFrom today, this is my home.\n\nA home of my own, amid the ruins.	荒野の真ん中に、打ち捨てられたコンテナがひとつ。\n今日からここが私の家だ。\n\n廃墟の中に、自分だけの家を。	
intro.firstShelter	인트로 생존 서사(문어체)	문어체(기록)		26	📦 버려진 컨테이너 — 오늘부터 여기가 집이다	📦 Abandoned Container — my first shelter	📦 打ち捨てられたコンテナ — 今日からここが家だ	
ending.line0	엔드게임 마일스톤 연출	혼잣말·반말		41	헬리콥터의 굉음이 잦아들고,<br>박사는 말없이 내 집을 한참 바라보았다.	As the roar of the helicopter faded,<br>the scientist gazed silently at my home for a long while.	ヘリコプターの轟音が遠のき、<br>博士は何も言わず、長いこと私の家を見つめていた。	
ending.line1	엔드게임 마일스톤 연출	혼잣말·반말	{day}	38	"{day}일... 정말 그 세월을<br>여기서 살아냈단 말입니까."	"{day} days... you truly lived out<br>all those years here?"	「{day}日……本当にあの歳月を<br>ここで生き抜いたというのですか。」	
ending.line2	엔드게임 마일스톤 연출	혼잣말·반말		52	나는 마지막으로 집을 돌아보았다.<br>손때 묻은 가구들, 창가의 불빛, 벽의 흠집 하나까지.	I looked back at my home one last time.<br>The well-worn furniture, the light by the window, every scratch on the wall.	最後に、家を振り返った。<br>使い込んだ家具、窓辺の明かり、壁の傷ひとつまで。	
ending.line2cat	엔드게임 마일스톤 연출	혼잣말·반말		42	<br><br>고양이가 당연하다는 듯 내 품에 뛰어올랐다.<br>함께 간다.	<br><br>The cat leapt into my arms as if it were the most natural thing.<br>It comes with me.	<br><br>猫が当たり前のように腕の中に飛び込んできた。<br>一緒に行く。	
ending.line3	엔드게임 마일스톤 연출	혼잣말·반말		42	폐허는 점점 작아졌다.<br><br>그러나 저 집은 — 분명, 내 집이었다.	The ruins grew smaller and smaller.<br><br>But that home — it was, without a doubt, mine.	廃墟は少しずつ小さくなっていった。<br><br>それでもあの家は — 確かに、私の家だった。	
ending.line4	엔드게임 마일스톤 연출	혼잣말·반말	{day} {succ} {cat}	121	🚁 <b>ENDING — 폐허 너머로</b><br><br><span style="font-size:12px;color:var(--text-dim)">생존 {day}일 · 탐험 성공 {succ}회{cat}</span>	🚁 <b>ENDING — Beyond the Ruins</b><br><br><span style="font-size:12px;color:var(--text-dim)">Survived {day} days · {succ} successful expeditions{cat}</span>	🚁 <b>ENDING — 廃墟の向こうへ</b><br><br><span style="font-size:12px;color:var(--text-dim)">生存 {day}日 · 探索成功 {succ}回{cat}</span>	
ending.catTag	엔드게임 마일스톤 연출	혼잣말·반말		13	 · 고양이와 함께 🐈	 · together with the cat 🐈	 · 猫と共に 🐈	
ending.back	엔드게임 마일스톤 연출	혼잣말·반말		18	🏠 폐허로 돌아간다 (계속하기)	🏠 Return to the ruins (continue)	🏠 廃墟へ帰る (続ける)	
ending.note	엔드게임 마일스톤 연출	혼잣말·반말		31	🚁 구조선에 오를 수 있었지만, 결국 집으로 돌아왔다.	🚁 I was rescued, yet in the end I returned home.	🚁 救助のヘリに乗ることもできたが、結局、家に帰ってきた。	
ending.epilogue	엔드게임 마일스톤 연출	혼잣말·반말		26	🏠 에필로그 — 나는 이 폐허의 집을 선택했다	🏠 Epilogue — I chose this home among the ruins	🏠 エピローグ — 私はこの廃墟の家を選んだ	
toast.needResource	토스트 알림(짧게)	라벨(명사구)		8	자원이 모자란다	Not enough resources	資源が足りない	
toast.needMaterial	토스트 알림(짧게)	라벨(명사구)		8	재료가 모자란다	Not enough materials	材料が足りない	
toast.exhausted	토스트 알림(짧게)	라벨(명사구)		21	탈진했다 — 먹고 마셔야 몸이 움직인다	You are exhausted — eat and drink before you can move	疲れ果てた — 食べて飲まないと体が動かない	
toast.tooTired	토스트 알림(짧게)	라벨(명사구)		21	⚡ 너무 지쳤다 — 🛌 자고 일어나자	⚡ Too tired — 🛌 sleep to recover	⚡ 疲れすぎた — 🛌 ひと眠りしよう	
toast.expLimit	토스트 알림(짧게)	라벨(명사구)	{n}	24	오늘만 벌써 {n}번째다 — 🛌 이제 쉬자	You have already been out {n} times today — 🛌 you must rest	今日だけでもう{n}回目だ — 🛌 そろそろ休もう	
exp.fatigue	탐험 준비·정산·노트	혼잣말·반말		21	몸이 납덩이 같다 — 오늘은 일찍 눕자	Dead tired — better turn in early tonight	体が鉛のように重い — 今日は早めに横になろう	
toast.emptySlot	토스트 알림(짧게)	라벨(명사구)		6	빈 슬롯이다	Empty slot	空きスロットだ	
none	일반 UI	라벨(명사구)		2	없음	None	なし	
free	일반 UI	라벨(명사구)		2	무료	free	無料	
current	일반 UI	라벨(명사구)		4	(현재)	(current)	(現在)	
sleep.cantDuringExp	취침·기상 문구	혼잣말·반말		19	탐험에서 돌아오기 전엔 잘 수 없다	You can't sleep until you return from the expedition	探索から戻るまでは眠れない	
sleep.noteBed	취침·기상 문구	혼잣말·반말	{e}	23	😴 침대에서 푹 잤다. (에너지 {e})	😴 Slept soundly in the bed. (energy {e})	😴 ベッドでぐっすり眠った。(エネルギー {e})	
sleep.noteFloor	취침·기상 문구	혼잣말·반말	{e}	26	😴 바닥에서 웅크리고 잤다. (에너지 {e})	😴 Curled up and slept on the floor. (energy {e})	😴 床で丸くなって眠った。(エネルギー {e})	
sleep.autoBed	취침·기상 문구	혼잣말·반말	{e}	35	😴 지쳐 곯아떨어졌다... 침대에서 아침을 맞았다 (⚡{e})	😴 Collapsed from exhaustion... woke in the bed to morning (⚡{e})	😴 疲れ果てて眠り込んだ……ベッドで朝を迎えた (⚡{e})	
sleep.autoFloor	취침·기상 문구	혼잣말·반말	{e}	35	😴 지쳐 곯아떨어졌다... 바닥에서 아침을 맞았다 (⚡{e})	😴 Collapsed from exhaustion... woke on the floor to morning (⚡{e})	😴 疲れ果てて眠り込んだ……床で朝を迎えた (⚡{e})	
sleep.wakeBed	취침·기상 문구	혼잣말·반말	{e}	29	😴 침대에서 푹 잤다 — 아침이 밝았다 (⚡{e})	😴 Slept soundly in the bed — morning has come (⚡{e})	😴 ベッドでぐっすり眠った — 夜が明けた (⚡{e})	
sleep.wakeFloor	취침·기상 문구	혼잣말·반말	{e}	32	😴 바닥에서 웅크리고 잤다 — 아침이 밝았다 (⚡{e})	😴 Curled up on the floor — morning has come (⚡{e})	😴 床で丸くなって眠った — 夜が明けた (⚡{e})	
